step,obs/extra/right_tcp_pose_6d_from_bimanual_center_0,obs/extra/right_tcp_pose_6d_from_bimanual_center_1,obs/extra/right_tcp_pose_6d_from_bimanual_center_2,obs/extra/right_tcp_pose_6d_from_bimanual_center_3,obs/extra/right_tcp_pose_6d_from_bimanual_center_4,obs/extra/right_tcp_pose_6d_from_bimanual_center_5,obs/extra/right_tcp_pose_6d_from_bimanual_center_6,obs/extra/right_tcp_pose_6d_from_bimanual_center_7,obs/extra/right_tcp_pose_6d_from_bimanual_center_8
105,0.47297966480255127,-0.5581984519958496,0.3965236246585846,-0.5129237174987793,0.8321664929389954,0.21073287725448608,0.8429073691368103,0.4417557120323181,0.3071792423725128
106,0.4774012863636017,-0.5565527081489563,0.3986932337284088,-0.5173237323760986,0.8273231387138367,0.21888938546180725,0.8393984436988831,0.44071638584136963,0.3180869221687317
107,0.48206794261932373,-0.5537796020507812,0.400840163230896,-0.5235990285873413,0.8211685419082642,0.2269946187734604,0.8346946239471436,0.4410669207572937,0.32976505160331726
108,0.48692813515663147,-0.5498776435852051,0.40305933356285095,-0.5317466259002686,0.8136520981788635,0.23498085141181946,0.8287439942359924,0.44276559352874756,0.3422602117061615
109,0.4919149875640869,-0.5448657870292664,0.40551498532295227,-0.5417582988739014,0.8047925233840942,0.24250154197216034,0.8214678764343262,0.4458528757095337,0.3555358350276947
110,0.4970008134841919,-0.5388250350952148,0.4080781042575836,-0.5533351898193359,0.7946717143058777,0.24963434040546417,0.8130242228507996,0.4500930905342102,0.3693344295024872
111,0.5021275281906128,-0.5318673849105835,0.4105296730995178,-0.5660930871963501,0.7832496762275696,0.2570186257362366,0.8035990595817566,0.4548383355140686,0.38386276364326477
112,0.5072786808013916,-0.5239717960357666,0.4123855233192444,-0.5797202587127686,0.7703521251678467,0.2654847204685211,0.7935028076171875,0.45971620082855225,0.3987659513950348
113,0.5123915076255798,-0.5151596069335938,0.41365188360214233,-0.5941281318664551,0.7558917999267578,0.27502650022506714,0.7828232049942017,0.4647548198699951,0.4137522578239441
114,0.5173196196556091,-0.505336582660675,0.4146597981452942,-0.6095066070556641,0.73981773853302,0.2849063277244568,0.7712060809135437,0.47003793716430664,0.4293082654476166
115,0.5220826864242554,-0.49466371536254883,0.41591429710388184,-0.6257920265197754,0.7224205136299133,0.29409703612327576,0.7585124373435974,0.47577089071273804,0.44530993700027466
116,0.5264718532562256,-0.4834789037704468,0.41778767108917236,-0.6427274942398071,0.7039724588394165,0.30219903588294983,0.7447431087493896,0.481666624546051,0.4619036316871643
117,0.5304362773895264,-0.47203898429870605,0.4201280474662781,-0.6598740816116333,0.6845541000366211,0.3097609281539917,0.7302693128585815,0.4872737526893616,0.47882258892059326
118,0.5340022444725037,-0.4603842794895172,0.42288100719451904,-0.6771097183227539,0.6642306447029114,0.3167334496974945,0.7151585221290588,0.49254298210144043,0.4959331154823303
119,0.5371975898742676,-0.44852474331855774,0.42604154348373413,-0.6943804025650024,0.6430513858795166,0.3229876160621643,0.6994130611419678,0.497505784034729,0.5131368041038513
120,0.5400148034095764,-0.43693387508392334,0.42997825145721436,-0.7113175392150879,0.6219370365142822,0.32744699716567993,0.6831403970718384,0.5021356344223022,0.5302630662918091
121,0.5421558618545532,-0.42585450410842896,0.4355922341346741,-0.7283748388290405,0.6012320518493652,0.32861846685409546,0.6654617190361023,0.5065147876739502,0.5482732057571411
122,0.5434187650680542,-0.4153894782066345,0.442666232585907,-0.7454261779785156,0.5809667706489563,0.3268295228481293,0.6463891863822937,0.510206937789917,0.567335844039917
123,0.543885350227356,-0.405807226896286,0.4510706067085266,-0.762138843536377,0.5615445375442505,0.3221985995769501,0.6262074708938599,0.5130696892738342,0.5870466232299805
124,0.5436228513717651,-0.39732351899147034,0.4605639576911926,-0.7781405448913574,0.5434097051620483,0.3149656057357788,0.6052908897399902,0.514907717704773,0.6070361733436584
125,0.5426307916641235,-0.3900992274284363,0.47048795223236084,-0.7929713726043701,0.5265570282936096,0.30648672580718994,0.5844092965126038,0.5151764154434204,0.6269442439079285
