step,obs/extra/left_tcp_pose_6d_from_bimanual_center_0,obs/extra/left_tcp_pose_6d_from_bimanual_center_1,obs/extra/left_tcp_pose_6d_from_bimanual_center_2,obs/extra/left_tcp_pose_6d_from_bimanual_center_3,obs/extra/left_tcp_pose_6d_from_bimanual_center_4,obs/extra/left_tcp_pose_6d_from_bimanual_center_5,obs/extra/left_tcp_pose_6d_from_bimanual_center_6,obs/extra/left_tcp_pose_6d_from_bimanual_center_7,obs/extra/left_tcp_pose_6d_from_bimanual_center_8
86,0.5408527851104736,0.07025527954101562,-0.005988672375679016,-0.5437905788421631,-0.8358049392700195,-0.07564153522253036,0.3642368018627167,-0.1538529396057129,-0.9185099601745605
87,0.5381367206573486,0.07972288131713867,-0.009356729686260223,-0.5499770641326904,-0.8306416273117065,-0.08694706112146378,0.35976123809814453,-0.1416682004928589,-0.9222266674041748
88,0.5339138507843018,0.08034038543701172,-0.009321331977844238,-0.5413830280303955,-0.8370237350463867,-0.07934621721506119,0.353318452835083,-0.14085400104522705,-0.9248385429382324
89,0.5409085750579834,0.06191110610961914,-0.0003010854125022888,-0.5558072328567505,-0.8277238607406616,-0.07714752107858658,0.3744761347770691,-0.16643762588500977,-0.9121766090393066
90,0.5349819660186768,0.07273721694946289,-0.010724849998950958,-0.5462081432342529,-0.8343867063522339,-0.07386205345392227,0.35418573021888733,-0.15014779567718506,-0.9230428338050842
91,0.5474040508270264,0.06875038146972656,0.004191398620605469,-0.5723164081573486,-0.8137223124504089,-0.10153864324092865,0.39186716079711914,-0.16261684894561768,-0.9055362939834595
92,0.5352523326873779,0.08408880233764648,-0.01368364691734314,-0.5583862066268921,-0.8235301971435547,-0.10001470148563385,0.35926514863967896,-0.1313868761062622,-0.9239404797554016
93,0.538036584854126,0.0840449333190918,-0.011864796280860901,-0.5259088277816772,-0.8465545177459717,-0.08225319534540176,0.3537065088748932,-0.1297316551208496,-0.9263160824775696
94,0.5427625179290771,0.07387781143188477,-0.00424879789352417,-0.5092487335205078,-0.8584079146385193,-0.06165698170661926,0.36811012029647827,-0.15250134468078613,-0.9171903729438782
95,0.5424978733062744,0.08036470413208008,-0.007128827273845673,-0.5200818777084351,-0.8505547046661377,-0.07792068272829056,0.36447837948799133,-0.1385037899017334,-0.9208540916442871
96,0.5434157848358154,0.0872654914855957,-0.012734740972518921,-0.5483357906341553,-0.8299736380577087,-0.1023317202925682,0.3572405278682709,-0.1218416690826416,-0.9260312914848328
97,0.5486652851104736,0.07706785202026367,-0.007061958312988281,-0.5531455278396606,-0.8277203440666199,-0.09438794106245041,0.3671397864818573,-0.14049744606018066,-0.9194938540458679
98,0.5362393856048584,0.07751274108886719,-0.010019548237323761,-0.5245232582092285,-0.84832763671875,-0.07222024351358414,0.34439748525619507,-0.133833646774292,-0.9292356967926025
99,0.5366146564483643,0.07471799850463867,-0.007274232804775238,-0.5287654399871826,-0.8448736071586609,-0.08121442794799805,0.34200459718704224,-0.1245110034942627,-0.9314128756523132
100,0.5417392253875732,0.07740354537963867,-0.0068846940994262695,-0.5580688714981079,-0.8231189846992493,-0.10504474490880966,0.35335156321525574,-0.12119054794311523,-0.927607536315918
101,0.5363075733184814,0.06996774673461914,-0.008227519690990448,-0.5664422512054443,-0.8190330862998962,-0.09125745296478271,0.35021287202835083,-0.13899755477905273,-0.9262993931770325
102,0.536240816116333,0.0693807601928711,-0.0018828660249710083,-0.5348192453384399,-0.8415364623069763,-0.07605710625648499,0.3527457118034363,-0.14056992530822754,-0.9251002669334412
103,0.5364172458648682,0.06966114044189453,-0.006320387125015259,-0.5341720581054688,-0.8416481614112854,-0.07930228859186172,0.34362563490867615,-0.1304631233215332,-0.9300005435943604
104,0.543724775314331,0.0740814208984375,-0.004676640033721924,-0.5559625625610352,-0.8250787258148193,-0.10075154900550842,0.3589196503162384,-0.1289689540863037,-0.9244153499603271
105,0.5385324954986572,0.07944631576538086,-0.01136171817779541,-0.5385292768478394,-0.8385519981384277,-0.08256504684686661,0.34655502438545227,-0.1311091184616089,-0.928821861743927
106,0.5393760204315186,0.07399272918701172,-0.005133882164955139,-0.521324872970581,-0.8503844738006592,-0.07118067890405655,0.3509862720966339,-0.1376432180404663,-0.9262089133262634
107,0.5413639545440674,0.08224678039550781,-0.009199097752571106,-0.5413992404937744,-0.835385799407959,-0.09496000409126282,0.34953543543815613,-0.12091672420501709,-0.92908775806427
108,0.5491302013397217,0.07430076599121094,-0.0065892040729522705,-0.5532608032226562,-0.8280649185180664,-0.09061489254236221,0.3615882992744446,-0.14073407649993896,-0.9216548800468445
109,0.5363633632659912,0.07285118103027344,-0.012966513633728027,-0.5300637483596802,-0.8451928496360779,-0.06842280924320221,0.33774709701538086,-0.13642501831054688,-0.9312976598739624
110,0.5419166088104248,0.07395553588867188,-0.0013658702373504639,-0.516716480255127,-0.8527315855026245,-0.07650608569383621,0.34901875257492065,-0.12820303440093994,-0.9283049702644348
111,0.539715051651001,0.0825052261352539,-0.00936935842037201,-0.5498921871185303,-0.8288226127624512,-0.10330452024936676,0.34542325139045715,-0.11305892467498779,-0.9316117763519287
112,0.5445835590362549,0.06948661804199219,-0.0037782490253448486,-0.5666452646255493,-0.818130612373352,-0.09785514324903488,0.3580745756626129,-0.13754713535308838,-0.9235062003135681
113,0.5396010875701904,0.06729888916015625,-0.007986508309841156,-0.5371845960617065,-0.8403359055519104,-0.07258369028568268,0.34633705019950867,-0.14129137992858887,-0.9274090528488159
114,0.5434973239898682,0.07210731506347656,-0.0010733231902122498,-0.5214798450469971,-0.849675714969635,-0.07816698402166367,0.34917885065078735,-0.12891912460327148,-0.9281455874443054
115,0.5399057865142822,0.07799100875854492,-0.009051620960235596,-0.5592498779296875,-0.822036862373352,-0.10721468925476074,0.33811211585998535,-0.10809314250946045,-0.9348775744438171
116,0.5450618267059326,0.062378883361816406,0.0009419173002243042,-0.5720324516296387,-0.8142109513282776,-0.09919427335262299,0.3528892695903778,-0.1351301670074463,-0.925855815410614
117,0.5351808071136475,0.06904792785644531,-0.004696384072303772,-0.5368704795837402,-0.8400253057479858,-0.07827991992235184,0.330270916223526,-0.12388253211975098,-0.9357212781906128
118,0.5363743305206299,0.062116146087646484,-0.0022729486227035522,-0.5612790584564209,-0.8224941492080688,-0.09202868491411209,0.3336440622806549,-0.1231071949005127,-0.9346262216567993
119,0.544417142868042,0.06077289581298828,0.0009549260139465332,-0.5771265029907227,-0.8098499774932861,-0.10520488023757935,0.3475339710712433,-0.1269773244857788,-0.929030179977417
120,0.5451362133026123,0.06585979461669922,0.002094462513923645,-0.539027214050293,-0.8382632732391357,-0.08224595338106155,0.3487602770328522,-0.13324248790740967,-0.927692174911499
121,0.5396387577056885,0.07826042175292969,-0.005559846758842468,-0.5241916179656982,-0.8474060297012329,-0.084416963160038,0.337171733379364,-0.11549258232116699,-0.9343321919441223
122,0.5466654300689697,0.07573747634887695,-0.0011887550354003906,-0.5517120361328125,-0.827603280544281,-0.10337682068347931,0.35787925124168396,-0.12295365333557129,-0.9256374835968018
123,0.5441887378692627,0.08026456832885742,-0.007731907069683075,-0.5439445972442627,-0.8341401815414429,-0.09129420667886734,0.34979763627052307,-0.1265101432800293,-0.9282439947128296
124,0.5490224361419678,0.0644230842590332,-0.002120599150657654,-0.5292555093765259,-0.8460988998413086,-0.06328615546226501,0.35867223143577576,-0.15551316738128662,-0.9204183220863342
125,0.5470497608184814,0.07222700119018555,-0.004390232264995575,-0.5434043407440186,-0.8347882032394409,-0.08854681998491287,0.3539780378341675,-0.13221454620361328,-0.9258612394332886
126,0.5500051975250244,0.07562398910522461,-0.005911588668823242,-0.5703189373016357,-0.8137016892433167,-0.11236514151096344,0.3509308993816376,-0.11768174171447754,-0.9289770722389221
127,0.5443928241729736,0.06950998306274414,-0.0023609697818756104,-0.569974422454834,-0.8148691058158875,-0.10543982684612274,0.34586426615715027,-0.12153446674346924,-0.9303802251815796
128,0.5348432064056396,0.06762838363647461,-0.003112614154815674,-0.5450437068939209,-0.8341503143310547,-0.08438403159379959,0.32869839668273926,-0.12000918388366699,-0.9367792010307312
129,0.5360801219940186,0.05561351776123047,-0.0018174871802330017,-0.5761216878890991,-0.8118008375167847,-0.09520210325717926,0.3337905704975128,-0.12735235691070557,-0.9340049624443054
130,0.5498478412628174,0.06193065643310547,0.008067205548286438,-0.5863481760025024,-0.8013741970062256,-0.11830231547355652,0.3631674349308014,-0.12951195240020752,-0.9226788878440857
131,0.5625665187835693,0.06934404373168945,0.011742115020751953,-0.5673997402191162,-0.8155933618545532,-0.11342538893222809,0.3723434507846832,-0.1312617063522339,-0.9187659025192261
132,0.5496118068695068,0.057546138763427734,0.0026306360960006714,-0.5630021095275879,-0.8224021196365356,-0.08175304532051086,0.3497832119464874,-0.14748871326446533,-0.9251480102539062
133,0.5470120906829834,0.04692697525024414,0.010945573449134827,-0.5496050119400024,-0.8325812816619873,-0.06886723637580872,0.3471117317676544,-0.1525973081588745,-0.9253255724906921
134,0.5540859699249268,0.03517866134643555,0.018106669187545776,-0.5270981788635254,-0.8485062718391418,-0.046952515840530396,0.35193103551864624,-0.1676642894744873,-0.9208871722221375
135,0.563157320022583,0.018929481506347656,0.030971422791481018,-0.528175950050354,-0.8484984040260315,-0.03287649527192116,0.3744976222515106,-0.19802021980285645,-0.9058364629745483
