step,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6,actions_7,actions_8,actions_9,actions_10,actions_11,actions_12,actions_13,actions_14,actions_15
43,-0.2755153179168701,-0.32804611325263977,0.23816926777362823,-0.38455191254615784,0.11828570067882538,-0.47913098335266113,0.42423224449157715,-0.0004782639443874359,0.22079803049564362,0.13999897241592407,-0.34541699290275574,-1.3475111722946167,-0.31940770149230957,-0.2566288113594055,-0.6165976524353027,0.12575256824493408
44,-0.27894172072410583,-0.311136394739151,0.24101071059703827,-0.36458051204681396,0.10955719649791718,-0.46161627769470215,0.41899025440216064,-0.0035602375864982605,0.22738224267959595,0.16974037885665894,-0.33589452505111694,-1.2850784063339233,-0.2909470796585083,-0.2288135141134262,-0.5830585956573486,0.11894512921571732
45,-0.27792641520500183,-0.29611730575561523,0.24507565796375275,-0.3478328585624695,0.10219410061836243,-0.443939745426178,0.41373640298843384,-0.004619987681508064,0.2308272272348404,0.1996171474456787,-0.3312784731388092,-1.2257251739501953,-0.26679080724716187,-0.2051960676908493,-0.5527245402336121,0.11235130578279495
46,-0.27646172046661377,-0.2838115990161896,0.24733810126781464,-0.3331599533557892,0.09503637254238129,-0.4265497326850891,0.4100004732608795,-0.00513153150677681,0.23428849875926971,0.22776862978935242,-0.3280041813850403,-1.1718595027923584,-0.2481190711259842,-0.1853083074092865,-0.5267571806907654,0.10727670043706894
47,-0.27223601937294006,-0.27616217732429504,0.24702255427837372,-0.32233384251594543,0.08628053963184357,-0.4112514853477478,0.40994295477867126,-0.004109252244234085,0.23895545303821564,0.2575952708721161,-0.32312116026878357,-1.1214256286621094,-0.2345694750547409,-0.16948921978473663,-0.5067664980888367,0.10397059470415115
48,-0.27351781725883484,-0.2646571099758148,0.24575255811214447,-0.3080635666847229,0.08301864564418793,-0.3956078290939331,0.40578222274780273,-0.009123703464865685,0.2407189905643463,0.27658382058143616,-0.3227199614048004,-1.0753710269927979,-0.22600288689136505,-0.14959834516048431,-0.4835302233695984,0.101322241127491
49,-0.2678419351577759,-0.26216432452201843,0.24364040791988373,-0.3004479706287384,0.07642313838005066,-0.38044828176498413,0.404998779296875,-0.008544856682419777,0.24727849662303925,0.3031768798828125,-0.3155459761619568,-1.0280812978744507,-0.21664609014987946,-0.13514384627342224,-0.46512192487716675,0.10063999146223068
50,-0.2674557566642761,-0.25568005442619324,0.2394571751356125,-0.2897464632987976,0.07015077769756317,-0.36608242988586426,0.4016783833503723,-0.01132768951356411,0.25300735235214233,0.32486021518707275,-0.3096657395362854,-0.9854190349578857,-0.20867982506752014,-0.11944757401943207,-0.446598082780838,0.10004425793886185
51,-0.26380619406700134,-0.24945780634880066,0.23687611520290375,-0.2782783806324005,0.06709030270576477,-0.3523164391517639,0.39691638946533203,-0.015317285433411598,0.2601338028907776,0.34457725286483765,-0.29953640699386597,-0.9454989433288574,-0.2082197517156601,-0.10254120826721191,-0.4287688434123993,0.098881296813488
52,-0.2546609342098236,-0.23082000017166138,0.2375984638929367,-0.27142858505249023,0.07740312814712524,-0.34072786569595337,0.3961195945739746,-0.025479326024651527,0.25926756858825684,0.3566029369831085,-0.30053845047950745,-0.9053842425346375,-0.2339228242635727,-0.07635731995105743,-0.4192245900630951,0.08748622238636017
53,-0.26476359367370605,-0.24203363060951233,0.22256143391132355,-0.2598600387573242,0.06788860261440277,-0.31175869703292847,0.38467782735824585,-0.0244427677243948,0.27636390924453735,0.3818154036998749,-0.27336952090263367,-0.8747646808624268,-0.20980128645896912,-0.06494887918233871,-0.40013039112091064,0.0993228629231453
54,-0.2586287558078766,-0.22803089022636414,0.22227340936660767,-0.243731290102005,0.0614890456199646,-0.30431562662124634,0.3738136887550354,-0.030881410464644432,0.2849668264389038,0.3976425230503082,-0.2556737959384918,-0.8524042367935181,-0.21393874287605286,-0.04694347083568573,-0.3840419352054596,0.09294206649065018
55,-0.25687408447265625,-0.2241227924823761,0.2159603089094162,-0.23494789004325867,0.06046096980571747,-0.2880067229270935,0.36666712164878845,-0.03861353546380997,0.28987187147140503,0.4094583988189697,-0.2442479133605957,-0.8247290849685669,-0.21327462792396545,-0.02660774439573288,-0.3659006357192993,0.09269381314516068
56,-0.253790944814682,-0.2160758674144745,0.2119608372449875,-0.22091889381408691,0.05837458372116089,-0.2757571339607239,0.3546883463859558,-0.046786852180957794,0.2961598038673401,0.4197984039783478,-0.2302190661430359,-0.8019744753837585,-0.21285036206245422,-0.00555071234703064,-0.34638264775276184,0.09014451503753662
57,-0.2473420351743698,-0.21326637268066406,0.2063818871974945,-0.2130592167377472,0.053746215999126434,-0.26397424936294556,0.34747493267059326,-0.052621498703956604,0.3030725419521332,0.43286964297294617,-0.21487081050872803,-0.7805397510528564,-0.21195264160633087,0.011100545525550842,-0.3303065896034241,0.08910074084997177
58,-0.24538050591945648,-0.20522797107696533,0.20081132650375366,-0.20107045769691467,0.05107998847961426,-0.25289714336395264,0.3361680507659912,-0.062218934297561646,0.30882519483566284,0.4387257993221283,-0.2013469934463501,-0.7636395692825317,-0.21189969778060913,0.030122756958007812,-0.3113182783126831,0.08713497221469879
59,-0.23985306918621063,-0.200630784034729,0.1960340440273285,-0.1926247775554657,0.048225037753582,-0.24197806417942047,0.3261517286300659,-0.06980413943529129,0.31432783603668213,0.44633951783180237,-0.1881309449672699,-0.7453269958496094,-0.21018777787685394,0.047691717743873596,-0.29258134961128235,0.08552785962820053
60,-0.23509089648723602,-0.19561490416526794,0.1902971714735031,-0.1865665316581726,0.04536886513233185,-0.23043419420719147,0.31740885972976685,-0.07624846696853638,0.3202839195728302,0.45321011543273926,-0.1755075454711914,-0.7300872206687927,-0.20992407202720642,0.0618971586227417,-0.27673545479774475,0.08365153521299362
61,-0.2307666391134262,-0.1909748911857605,0.18435896933078766,-0.17916983366012573,0.0410502552986145,-0.2213299721479416,0.30906569957733154,-0.08273609727621078,0.3254890739917755,0.459836483001709,-0.1633467674255371,-0.7160205245018005,-0.2093333601951599,0.07533663511276245,-0.26140695810317993,0.0822242870926857
62,-0.22438552975654602,-0.1880147010087967,0.17919327318668365,-0.17541438341140747,0.03716713935136795,-0.21340246498584747,0.3007164001464844,-0.08854054659605026,0.33012330532073975,0.46633005142211914,-0.1512119472026825,-0.7029192447662354,-0.20808902382850647,0.08695518970489502,-0.2473345696926117,0.08155476301908493
63,-0.21978282928466797,-0.18095095455646515,0.17542274296283722,-0.16877144575119019,0.03444746881723404,-0.20644979178905487,0.28907278180122375,-0.09578990191221237,0.33539044857025146,0.46902698278427124,-0.13868609070777893,-0.6926326751708984,-0.20700763165950775,0.09930670261383057,-0.23143166303634644,0.07912590354681015
64,-0.21319150924682617,-0.1755213439464569,0.17259205877780914,-0.1642257273197174,0.030970267951488495,-0.2001233696937561,0.27863413095474243,-0.10122267156839371,0.34062567353248596,0.4731121361255646,-0.1262941062450409,-0.682561993598938,-0.20492176711559296,0.10962571203708649,-0.2164902687072754,0.07627455145120621
65,-0.20354154706001282,-0.17643368244171143,0.16800017654895782,-0.1636209487915039,0.02127838134765625,-0.19601953029632568,0.27343517541885376,-0.10178687423467636,0.3503224849700928,0.484389990568161,-0.10705477744340897,-0.6762835383415222,-0.2035716474056244,0.11150610446929932,-0.21013596653938293,0.07575021684169769
66,-0.2079072743654251,-0.16591410338878632,0.15951797366142273,-0.1562073826789856,0.02357161045074463,-0.18823367357254028,0.26183438301086426,-0.11578895151615143,0.3494647741317749,0.4772024154663086,-0.10351181775331497,-0.6676081418991089,-0.20541608333587646,0.12912863492965698,-0.19071906805038452,0.07516475766897202
67,-0.19677302241325378,-0.16184063255786896,0.16161398589611053,-0.1424413025379181,0.018930599093437195,-0.1910315454006195,0.24878178536891937,-0.12147555500268936,0.3509746193885803,0.4823860228061676,-0.09356198459863663,-0.6555761694908142,-0.20125572383403778,0.14177116751670837,-0.17214205861091614,0.0724107176065445
